Full name,Faction,Sort_class,Enemy,Sort_part,Part,Show Main,Main view,Alt view,Credit (3D model). Additional modifications such as highlighting and identification of parts are done by myself.,HP,Armor,Durability,To main,Tag,Demo,ExDR,BaDR,Fire Mult,Correction,Constitution,Main cap,ExVM,Light stagger,Medium stagger,Heavy stagger,Massive stagger,,Notes
Automatons / Heavy / Factory Strider / Knee armor (each),Automatons,10,Heavy / Factory Strider,20,Knee armor (each),--,https://i.postimg.cc/ZYBqWGRf/Knee-armour.jpg,https://i.postimg.cc/Y97xv6NR/Knee-armour.jpg,Discord : dark728 / rideranton,800,5,100%,20%,Non lethal,--,40%,0%,0%,0,0,Yes,OuterRadius,--,--,--,--,,No notes.
Automatons / Heavy / Factory Strider / Leg assembly (each),Automatons,10,Heavy / Factory Strider,21,Leg assembly (each),--,https://i.postimg.cc/rzX3s0mL/Legs-assembly.jpg,https://i.postimg.cc/RV42ktjc/Legs-assembly.jpg,Discord : dark728 / rideranton,3500,4,100%,40%,Lethal,--,40%,0%,0%,0,0,Yes,All,--,--,--,--,,No notes.
Automatons / Heavy / Factory Strider / Damaged leg assembly,Automatons,10,Heavy / Factory Strider,22,Damaged leg assembly,--,https://i.postimg.cc/259z6GfR/Damaged-legs.jpg,https://i.postimg.cc/VkTGk0HZ/Damaged-legs.jpg,Discord : dark728 / rideranton,3500,4,100%,40%,Lethal,--,40%,0%,0%,450,0,Yes,All,--,--,--,--,,"Leg armor must be breached first. It's the exact same part than ""Leg assembly"". Includes 750 damage to [MAIN] dealt by breaching corresponding leg armo section."
Automatons / Heavy / Factory Strider / Underbelly door (each),Automatons,10,Heavy / Factory Strider,23,Underbelly door (each),--,https://i.postimg.cc/y8JjtYYm/Door.jpg,https://i.postimg.cc/YSrcQWxr/Carrier.jpg,Discord : dark728 / rideranton,2400,3,100%,100%,Lethal,--,40%,0%,0%,660,0,No,All,--,--,--,--,,Shares its HP with correspondig side circuits. Each door is an independent part so it's best to concentrate on one door at a time. Includes 660 damage to [MAIN] dealt by breaching corresponding side armor.
Automatons / Heavy / Factory Strider / Leg assembly (AT mines),Automatons,10,Heavy / Factory Strider,24,Leg assembly (AT mines),--,https://i.postimg.cc/rzX3s0mL/Legs-assembly.jpg,https://i.postimg.cc/RV42ktjc/Legs-assembly.jpg,Discord : dark728 / rideranton,3500,4,100%,40%,Lethal,--,40%,0%,0%,0,0,Yes,All,--,--,--,--,,No notes.
Automatons / Heavy / Factory Strider / Floor (Eagle 500 kg),Automatons,10,Heavy / Factory Strider,25,Floor (Eagle 500 kg),--,https://i.postimg.cc/Y04R799C/Side-500kg.jpg,https://i.postimg.cc/1t7Bb6yd/Front-500kg.jpg,Discord : dark728,X,X,0%,0%,X,--,0%,0%,0%,0,0,Yes,All,--,--,--,--,,"Use this input to simulate a 500kg bomb hitting the ground beneath the Factory Strider (ideally, centered beneath him). Considering the small damage margin required to ensure a kill, the target may stay alive or die depending on the exact location of the impact."
Automatons / Other / Command Bunker / [MAIN],Automatons,11,Other / Command Bunker,1,[MAIN],1,https://i.postimg.cc/x1WJC9G3/side-main.jpg,https://i.postimg.cc/nLBs9N0b/top-main.jpg,Discord : cursed5666,2500,6,100%,--,Lethal,--,0%,0%,100%,0,0,--,OuterRadius,--,--,--,--,,No notes.
Automatons / Other / Command Bunker / Walls,Automatons,11,Other / Command Bunker,2,Walls,--,https://i.postimg.cc/BQztYJzf/side-walls.jpg,https://i.postimg.cc/QN0F7Qkt/top-walls.jpg,Discord : cursed5666,1500,6,100%,0%,Non lethal,--,0%,0%,0%,0,0,--,OuterRadius,--,--,--,--,,No notes.
Automatons / Other / Command Bunker / Side turret (each),Automatons,11,Other / Command Bunker,3,Side turret (each),--,https://i.postimg.cc/QMGCD0s6/side-Fusion-casemates.jpg,https://i.postimg.cc/QMGCD0s6/side-Fusion-casemates.jpg,Discord : cursed5666,250,4,100%,0%,Non lethal,--,0%,0%,0%,0,0,--,OuterRadius,--,--,--,--,,No notes.
Automatons / Other / Command Bunker / Top turret (each),Automatons,11,Other / Command Bunker,4,Top turret (each),--,https://i.postimg.cc/8Pcjm7tb/side-turrets.jpg,https://i.postimg.cc/hjnXLM5J/top-turrets.jpg,Discord : cursed5666,400,4,100%,0%,Non lethal,--,0%,0%,0%,0,0,--,OuterRadius,--,--,--,--,,No notes.
Automatons / Other / Gunship fabricator / Structure,Automatons,12,Other / Gunship fabricator,1,Structure,--,https://i.postimg.cc/Wznctwv1/Gunship-factory.jpg,https://i.postimg.cc/Wznctwv1/Gunship-factory.jpg,Arrowhead Studios,--,--,--,--,Lethal,60,0%,0%,0%,0,0,--,--,--,--,--,--,,No notes.
Automatons / Other / Orbital Cannon / Structure,Automatons,12,Other / Orbital Cannon,1,Structure,--,https://i.postimg.cc/q7XLPbXq/Orbital-cannon.jpg,https://i.postimg.cc/q7XLPbXq/Orbital-cannon.jpg,Arrowhead Studios,--,--,--,--,Lethal,60,0%,0%,0%,0,0,--,--,--,--,--,--,,No notes.
Automatons / Other / Detector Tower / Structure,Automatons,12,Other / Detector Tower,1,Structure,--,https://i.postimg.cc/4yZTJFj0/Detector.jpg,https://i.postimg.cc/4yZTJFj0/Detector.jpg,Arrowhead Studios,--,--,--,--,Lethal,50,0%,0%,0%,0,0,--,--,--,--,--,--,,No notes.
Automatons / Other / Signal jammer / Structure,Automatons,12,Other / Signal jammer,1,Structure,--,https://i.postimg.cc/HLcm3MQ6/Jammer.jpg,https://i.postimg.cc/HLcm3MQ6/Jammer.jpg,Arrowhead Studios,--,--,--,--,Lethal,50,0%,0%,0%,0,0,--,--,--,--,--,--,,No notes.
Automatons / Other / Fabricator / Outer,Automatons,12,Other / Fabricator,1,Outer,--,https://i.postimg.cc/7YXc5CPz/Main2.jpg,https://i.postimg.cc/7YXc5CPz/Main2.jpg,Discord : cursed5666,1500,5,100%,--,Lethal,40,0%,0%,0%,0,0,--,--,--,--,--,--,,No notes.
Automatons / Other / Fabricator / Vent,Automatons,12,Other / Fabricator,2,Vent,--,https://i.postimg.cc/7YXc5CPz/Main2.jpg,https://i.postimg.cc/7YXc5CPz/Main2.jpg,Discord : cursed5666,--,--,--,--,--,20,0%,100%,0%,0,0,--,--,--,--,--,--,,No notes.
Automatons / Other / Bulk Fabricator (WIP) / Outer,Automatons,13,Other / Bulk Fabricator (WIP),1,Outer,--,https://i.postimg.cc/BQ7Vtrmb/bulk.jpg,https://i.postimg.cc/BQ7Vtrmb/bulk.jpg,,5000,5,100%,--,Lethal,40,0%,0%,0%,0,0,--,--,--,--,--,--,,No notes.
Automatons / Other / Bulk Fabricator (WIP) / Vent,Automatons,13,Other / Bulk Fabricator (WIP),2,Vent,--,https://i.postimg.cc/BQ7Vtrmb/bulk.jpg,https://i.postimg.cc/BQ7Vtrmb/bulk.jpg,,--,--,--,--,--,20,0%,100%,0%,0,0,--,--,--,--,--,--,,No notes.
Automatons / Other / Canon turret / [MAIN],Automatons,14,Other / Canon turret,1,[MAIN],1,https://i.postimg.cc/FRZPW4Cn/cannon-turret.jpg,https://i.postimg.cc/FRZPW4Cn/cannon-turret.jpg,Arrowhead Studios,2100,5,100%,--,Lethal,--,0%,0%,100%,0,0,Yes,OuterRadius,--,--,--,--,,Same entity as the Annihilator tank turret.
Automatons / Other / Canon turret / Vent,Automatons,14,Other / Canon turret,2,Vent,--,https://i.postimg.cc/FRZPW4Cn/cannon-turret.jpg,https://i.postimg.cc/FRZPW4Cn/cannon-turret.jpg,Arrowhead Studios,750,3,100%,200%,Lethal,--,0%,0%,0%,0,0,Yes,All,--,--,--,--,,Same entity as the Annihilator tank turret.
Automatons / Other / Mortar & Anti-Air Turret / [MAIN],Automatons,15,Other / Mortar & Anti-Air Turret,1,[MAIN],1,https://i.postimg.cc/6QxYB3Dm/artillery.jpg,https://i.postimg.cc/6QxYB3Dm/artillery.jpg,Arrowhead Studios,400,3,100%,--,Lethal,--,0%,0%,100%,0,0,Yes,--,--,--,--,--,,No notes.
Automatons / Other / Bio-Processor / Structure,Automatons,15,Other / Bio-Processor,1,Structure,--,https://i.postimg.cc/Pqgj7qyT/Mixer.jpg,https://i.postimg.cc/Pqgj7qyT/Mixer.jpg,Arrowhead Studios,4000,0,100%,--,Lethal,40,0%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Illuminates / Light / Light Voteless / [MAIN],Illuminates,1,Light / Light Voteless,1,[MAIN],1,https://i.postimg.cc/PrThhJLk/Main.jpg,https://i.postimg.cc/PrThhJLk/Main.jpg,Discord : asunderknight,100,0,0%,--,Lethal,--,0%,0%,75%,0,100,--,OuterRadius,"1, ??, Y","20, ??, Y","30, ??, Y",--,,"Constitution [100, -5/s]. Enough overkill can immediately deplete the Constitution's pool."
Illuminates / Light / Light Voteless / Head,Illuminates,1,Light / Light Voteless,2,Head,--,https://i.postimg.cc/y8rzFTLV/Head.jpg,https://i.postimg.cc/y8rzFTLV/Head.jpg,Discord : asunderknight,40,1,0%,100%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Illuminates / Light / Light Voteless / Shoulder (each),Illuminates,1,Light / Light Voteless,3,Shoulder (each),--,https://i.postimg.cc/TY0xPxm5/Shoulders.jpg,https://i.postimg.cc/TY0xPxm5/Shoulders.jpg,Discord : asunderknight,50,0,0%,40%,Non lethal,--,100%,0%,0%,0,1000,No,--,--,--,--,--,,"Constitution [1000, -40/s]. Enough overkill can immediately deplete the Constitution's pool."
Illuminates / Light / Light Voteless / Arm (each),Illuminates,1,Light / Light Voteless,4,Arm (each),--,https://i.postimg.cc/FHK4d6gW/Arms.jpg,https://i.postimg.cc/FHK4d6gW/Arms.jpg,Discord : asunderknight,50,0,0%,30%,Non lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Illuminates / Light / Light Voteless / Leg (each),Illuminates,1,Light / Light Voteless,5,Leg (each),--,https://i.postimg.cc/XvG6xyP9/Legs.jpg,https://i.postimg.cc/XvG6xyP9/Legs.jpg,Discord : asunderknight,80,0,0%,30%,Non lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,"Puts the Voteless [MAIN] into Constitution [100, -5/s]."
Illuminates / Light / Medium Voteless / [MAIN],Illuminates,2,Light / Medium Voteless,1,[MAIN],1,https://i.postimg.cc/fWjnHs8q/Main.jpg,https://i.postimg.cc/fWjnHs8q/Main.jpg,Discord : asunderknight,130,0,0%,--,Lethal,--,0%,0%,75%,0,100,--,OuterRadius,"1, ??, Y","20, ??, Y","30, ??, Y",--,,"Constitution [100, -5/s]. Enough overkill can immediately deplete the Constitution's pool."
Illuminates / Light / Medium Voteless / Head,Illuminates,2,Light / Medium Voteless,2,Head,--,https://i.postimg.cc/x8Yr0p1P/Head.jpg,https://i.postimg.cc/x8Yr0p1P/Head.jpg,Discord : asunderknight,50,1,0%,100%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Illuminates / Light / Medium Voteless / Shoulder (each),Illuminates,2,Light / Medium Voteless,3,Shoulder (each),--,https://i.postimg.cc/vHYRkKjY/Shoulders.jpg,https://i.postimg.cc/vHYRkKjY/Shoulders.jpg,Discord : asunderknight,65,0,0%,40%,Non lethal,--,100%,0%,0%,0,1000,No,--,--,--,--,--,,"Constitution [1000, -40/s]. Enough overkill can immediately deplete the Constitution's pool."
Illuminates / Light / Medium Voteless / Arm (each),Illuminates,2,Light / Medium Voteless,4,Arm (each),--,https://i.postimg.cc/qR2VHH4R/Arms.jpg,https://i.postimg.cc/qR2VHH4R/Arms.jpg,Discord : asunderknight,50,0,0%,30%,Non lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Illuminates / Light / Medium Voteless / Leg (each),Illuminates,2,Light / Medium Voteless,5,Leg (each),--,https://i.postimg.cc/brR7d0Gf/Legs.jpg,https://i.postimg.cc/brR7d0Gf/Legs.jpg,Discord : asunderknight,80,0,0%,30%,Non lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,"Puts the Voteless [MAIN] into Constitution [100, -5/s]."
Illuminates / Light / Heavy Voteless / [MAIN],Illuminates,3,Light / Heavy Voteless,1,[MAIN],1,https://i.postimg.cc/8kb9RHCq/Main.jpg,https://i.postimg.cc/8kb9RHCq/Main.jpg,Discord : asunderknight,160,0,0%,--,Lethal,--,0%,0%,75%,0,100,--,OuterRadius,"1, ??, Y","20, ??, Y","30, ??, Y",--,,"Constitution [100, -5/s]. Enough overkill can immediately deplete the Constitution's pool."
Illuminates / Light / Heavy Voteless / Head,Illuminates,3,Light / Heavy Voteless,2,Head,--,https://i.postimg.cc/D05N72D2/Head.jpg,https://i.postimg.cc/D05N72D2/Head.jpg,Discord : asunderknight,60,1,0%,100%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Illuminates / Light / Heavy Voteless / Shoulder (each),Illuminates,3,Light / Heavy Voteless,3,Shoulder (each),--,https://i.postimg.cc/FssqDLd1/Shoulders.jpg,https://i.postimg.cc/FssqDLd1/Shoulders.jpg,Discord : asunderknight,80,0,0%,40%,Non lethal,--,100%,0%,0%,0,1000,No,--,--,--,--,--,,"Constitution [1000, -40/s]. Enough overkill can immediately deplete the Constitution's pool."
Illuminates / Light / Heavy Voteless / Arm (each),Illuminates,3,Light / Heavy Voteless,4,Arm (each),--,https://i.postimg.cc/W3GKfmwq/Arms.jpg,https://i.postimg.cc/W3GKfmwq/Arms.jpg,Discord : asunderknight,65,0,0%,30%,Non lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Illuminates / Light / Heavy Voteless / Leg (each),Illuminates,3,Light / Heavy Voteless,5,Leg (each),--,https://i.postimg.cc/fyMF4382/Legs.jpg,https://i.postimg.cc/fyMF4382/Legs.jpg,Discord : asunderknight,80,0,0%,30%,Non lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,"Puts the Voteless [MAIN] into Constitution [100, -5/s]."
Illuminates / Light / Watcher / [MAIN],Illuminates,4,Light / Watcher,1,[MAIN],1,https://i.postimg.cc/bvCHYZYV/front-Main.jpg,https://i.postimg.cc/dtPR0PvF/side-main.jpg,Discord : asunderknight,600,0,0%,--,Lethal,--,0%,0%,100%,0,0,--,OuterRadius,--,--,--,--,,"Constitution [100, -5/s]. Enough overkill can immediately deplete the Constitution's pool."
Illuminates / Light / Watcher / Vertical fin (each),Illuminates,4,Light / Watcher,2,Vertical fin (each),--,https://i.postimg.cc/sgK5KMWf/front-vertical-fins.jpg,https://i.postimg.cc/mDKYMKHQ/side-vertical-fins.jpg,Discord : asunderknight,200,0,0%,100%,Non lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Illuminates / Light / Watcher / Lateral fin (each),Illuminates,4,Light / Watcher,3,Lateral fin (each),--,https://i.postimg.cc/NjxkVN3c/front-Side-fins.jpg,https://i.postimg.cc/tC33ZSCx/Side-side-fins.jpg,Discord : asunderknight,150,2,0%,100%,Non lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Illuminates / Light / Watcher / Body,Illuminates,4,Light / Watcher,4,Body,--,https://i.postimg.cc/N0zmqZbW/Front-body.jpg,https://i.postimg.cc/brbQRLx4/Side-body.jpg,Discord : asunderknight,400,2,0%,100%,Lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,No notes.
Illuminates / Light / Watcher / Eye,Illuminates,4,Light / Watcher,5,Eye,--,https://i.postimg.cc/Hx85p3hj/Front-eye.jpg,https://i.postimg.cc/QNWksN2S/Side-eye.jpg,Discord : asunderknight,300,0,0%,100%,Non lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Illuminates / Medium / Fleshmob / [MAIN],Illuminates,5,Medium / Fleshmob,1,[MAIN],1,https://i.postimg.cc/zX1Y92Rx/Front-Custom.jpg,https://i.postimg.cc/7hS850j1/Back-Custom.jpg,Discord : rideranton,6000,0,25%,--,Lethal,--,0%,0%,200%,0,0,--,OuterRadius,??,??,??,??,,"Meat chunks are merged with [MAIN] because 100% of the ballistic damage is transferred. If you are simulating an explosive weapon, you will have to use the custom HP field to adjust the [MAIN] pool according to the amount of damage the blast inflicts on the various ""Meat chunks"" parts. You can also subtract 50 HP for each destroyed arm."
Illuminates / Medium / Fleshmob / Arm (each),Illuminates,5,Medium / Fleshmob,2,Arm (each),--,https://i.postimg.cc/C5K71bmf/Front-Arms.jpg,https://i.postimg.cc/BvxMwSjt/Back-Arms.jpg,Discord : rideranton,200,0,25%,25%,Non lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,No notes.
Illuminates / Medium / Fleshmob / Meat chunck (each),Illuminates,5,Medium / Fleshmob,3,Meat chunck (each),--,https://i.postimg.cc/sxsKJWv4/Front-Grouped-chunks-v2.jpg,https://i.postimg.cc/L5DDQsPK/Back-Grouped-chunks-v2.jpg,Discord : rideranton,400,0,25%,100%,Non lethal,--,25%,0%,0%,0,0,No,--,--,--,--,--,,"If you use an explosive weapon, the simulated results will represent the case where the central mass is targeted and may be innacurate if the inner radius of the explosion is too small and/or if you hit the top chunk. If Inner radius ≤1.5m, it is preferable to vary the firing angles to destroy all the chunks. Otherwise, it's best to aim for the centre of the fleshmob's body."
Illuminates / Medium / Overseer / [MAIN],Illuminates,6,Medium / Overseer,1,[MAIN],0,https://i.postimg.cc/43270D5x/Front-Main.jpg,https://i.postimg.cc/BvzbpxS8/Side-Main.jpg,Discord : asunderknight,600,0,0%,--,Lethal,--,0%,0%,100%,0,0,--,OuterRadius,"1, ??, N","20, ??, N","35, ??, Y",--,,Immaterial [MAIN]. It cannot be targeted like other parts. Explosions will damage it if they hit the enemy and if the conditions (AP / ExDR / etc.) required to damage the [MAIN] are satisfied. However % to Main from other parts works normally.
Illuminates / Medium / Overseer / Head,Illuminates,6,Medium / Overseer,2,Head,--,https://i.postimg.cc/bYtD6F2q/Front-Head.jpg,https://i.postimg.cc/GhR2X3Cj/Side-head.jpg,Discord : asunderknight,150,3,0%,100%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Illuminates / Medium / Overseer / Chest armor,Illuminates,6,Medium / Overseer,3,Chest armor,--,https://i.postimg.cc/MK0cwMD4/Front-Chest-armor.jpg,https://i.postimg.cc/RZsZCcnP/Side-chest-armor.jpg,Discord : asunderknight,150,2,0%,20%,Non lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,No notes.
Illuminates / Medium / Overseer / Crotch armor,Illuminates,6,Medium / Overseer,4,Crotch armor,--,https://i.postimg.cc/jdYWBQzP/Front-Crotch-armor.jpg,https://i.postimg.cc/02CNFg51/Side-crotch-armor.jpg,Discord : asunderknight,200,2,0%,20%,Non lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,No notes.
Illuminates / Medium / Overseer / Limbs armor (each),Illuminates,6,Medium / Overseer,5,Limbs armor (each),--,https://i.postimg.cc/B6d8S2RW/Front-Limbs-armor.jpg,https://i.postimg.cc/x8DCDnbn/Side-Limbs-armor.jpg,Discord : asunderknight,100,2,0%,20%,Non lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,No notes.
Illuminates / Medium / Overseer / Torso,Illuminates,6,Medium / Overseer,6,Torso,--,https://i.postimg.cc/N0ZGmBDm/Front-Torso.jpg,https://i.postimg.cc/JzPGyfS5/Side-torso.jpg,Discord : asunderknight,600,1,0%,100%,Lethal,--,100%,0%,0%,30,0,Yes,--,--,--,--,--,,Includes 30 damage to [MAIN] dealt by breaching Chest armor.
Illuminates / Medium / Overseer / Arm (each),Illuminates,6,Medium / Overseer,7,Arm (each),--,https://i.postimg.cc/nhHXhFSL/Front-Arms.jpg,https://i.postimg.cc/bwNvj6dD/Side-arms.jpg,Discord : asunderknight,300,1,0%,50%,Non lethal,--,100%,0%,0%,20,0,Yes,--,--,--,--,--,,Includes 20 damage to [MAIN] dealt by breaching Arms armor.
Illuminates / Medium / Overseer / Leg (each),Illuminates,6,Medium / Overseer,8,Leg (each),--,https://i.postimg.cc/ydJgCLQX/Front-Legs.jpg,https://i.postimg.cc/wMXB9ZhJ/Side-legs.jpg,Discord : asunderknight,-1,0,0%,70%,Lethal,--,100%,0%,0%,20,0,Yes,--,--,--,--,--,,Includes 20 damage to [MAIN] dealt by breaching Legs armor.
Illuminates / Medium / Overseer / Energy shield,Illuminates,6,Medium / Overseer,8,Energy shield,--,https://i.postimg.cc/NG7LHDGd/Shield.jpg,https://i.postimg.cc/NG7LHDGd/Shield.jpg,Arrowhead Studios,1500,2,30%,0%,Non lethal,--,100%,0%,0%,0,0,--,--,--,--,--,--,,No notes.
Illuminates / Medium / Elevated Overseer / [MAIN],Illuminates,7,Medium / Elevated Overseer,1,[MAIN],0,https://i.postimg.cc/cCBdpYSB/Front-Main.jpg,https://i.postimg.cc/MH58PS7s/Side-Main.jpg,Discord : asunderknight,600,0,0%,--,Lethal,--,0%,0%,100%,0,0,--,OuterRadius,"1, ??, N","20, ??, N","35, ??, Y",--,,Immaterial [MAIN]. It cannot be targeted like other parts. Explosions will damage it if they hit the enemy and if the conditions (AP / ExDR / etc.) required to damage the [MAIN] are satisfied. However % to Main from other parts works normally.
Illuminates / Medium / Elevated Overseer / Head,Illuminates,7,Medium / Elevated Overseer,2,Head,--,https://i.postimg.cc/q7KHfnc6/Front-Head.jpg,https://i.postimg.cc/vZNGwbpk/Side-head.jpg,Discord : asunderknight,150,3,0%,100%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Illuminates / Medium / Elevated Overseer / Chest armor,Illuminates,7,Medium / Elevated Overseer,3,Chest armor,--,https://i.postimg.cc/3wxDzWXG/Front-Chest-armor.jpg,https://i.postimg.cc/1z7NSPBj/Side-chest-armor.jpg,Discord : asunderknight,150,2,0%,20%,Non lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,No notes.
Illuminates / Medium / Elevated Overseer / Crotch armor,Illuminates,7,Medium / Elevated Overseer,4,Crotch armor,--,https://i.postimg.cc/QtBKxPnx/Front-Crocth-armor.jpg,https://i.postimg.cc/63D270DV/Side-crotch-armor.jpg,Discord : asunderknight,200,2,0%,20%,Non lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,No notes.
Illuminates / Medium / Elevated Overseer / Limbs armor (each),Illuminates,7,Medium / Elevated Overseer,5,Limbs armor (each),--,https://i.postimg.cc/5ynZ5mJT/Front-Limbs-armor.jpg,https://i.postimg.cc/sxsr4XhQ/Side-Limbs-armor.jpg,Discord : asunderknight,100,2,0%,20%,Non lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,No notes.
Illuminates / Medium / Elevated Overseer / Torso,Illuminates,7,Medium / Elevated Overseer,6,Torso,--,https://i.postimg.cc/X7njw2fH/Front-Torso.jpg,https://i.postimg.cc/KvcbK1bC/Side-torso.jpg,Discord : asunderknight,600,1,0%,100%,Lethal,--,100%,0%,0%,30,0,Yes,--,--,--,--,--,,Includes 30 damage to [MAIN] dealt by breaching Chest armor.
Illuminates / Medium / Elevated Overseer / Arm (each),Illuminates,7,Medium / Elevated Overseer,7,Arm (each),--,https://i.postimg.cc/JzGWqSGq/Front-Arms.jpg,https://i.postimg.cc/fWcWS49S/Side-arms.jpg,Discord : asunderknight,300,1,0%,50%,Non lethal,--,100%,0%,0%,20,0,Yes,--,--,--,--,--,,Includes 20 damage to [MAIN] dealt by breaching Arms armor.
Illuminates / Medium / Elevated Overseer / Leg (each),Illuminates,7,Medium / Elevated Overseer,8,Leg (each),--,https://i.postimg.cc/XqVRyzR9/Front-Legs.jpg,https://i.postimg.cc/4dzGctmR/Side-legs.jpg,Discord : asunderknight,-1,0,0%,70%,Lethal,--,100%,0%,0%,20,0,No,--,--,--,--,--,,Includes 20 damage to [MAIN] dealt by breaching Legs armor.
Illuminates / Medium / Elevated Overseer / Jetpack,Illuminates,7,Medium / Elevated Overseer,9,Jetpack,--,https://i.postimg.cc/50cQBZSY/Back-jetpack.jpg,https://i.postimg.cc/43HsJjGd/Side-Jetpack.jpg,Discord : asunderknight,300,2,0%,50%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Illuminates / Special / Airborne Warp ship (OUTDATED) / [MAIN],Illuminates,8,Special / Airborne Warp ship (OUTDATED),1,[MAIN],1,https://i.postimg.cc/PrcgnTYZ/Bottom-Airborne-rear.jpg,https://i.postimg.cc/Yqj5PhGM/airborne-rear.jpg,Discord : lettric,3500,5,100%,--,Lethal,--,0%,0%,100%,0,0,--,OuterRadius,--,--,--,--,,A single >2500 damage hit will immediately destroy the warship.
Illuminates / Special / Airborne Warp ship (OUTDATED) / Shield,Illuminates,8,Special / Airborne Warp ship (OUTDATED),2,Shield,--,https://i.postimg.cc/C1Ptjf7G/Bottom-shield.jpg,https://i.postimg.cc/B6QkLCTZ/Airborne-shield.jpg,Discord : lettric,2500,0,0%,--,Non lethal,50,0%,100%,0%,0,0,--,--,--,--,--,--,,No notes.
Illuminates / Special / Airborne Warp ship (OUTDATED) / Side Hull (each),Illuminates,8,Special / Airborne Warp ship (OUTDATED),3,Side Hull (each),--,https://i.postimg.cc/xC9d4RjF/Bottom-Airborne-side-hull.jpg,https://i.postimg.cc/kg8XMZBp/Side-Airborne-warpship-side-hull.jpg,Discord : lettric,1000,5,100%,100%,Non lethal,--,100%,0%,0%,0,0,--,--,--,--,--,--,,A single >2500 damage hit will immediately destroy the warship. Otherwise redirects damage to [MAIN] as normal.
Illuminates / Special / Stingray / [MAIN],Illuminates,9,Special / Stingray,1,[MAIN],0,https://i.postimg.cc/bvqcYBcC/Side-Main-1.jpg,https://i.postimg.cc/13h12zWZ/Front.jpg,Discord : rideranton,800,3,70%,--,Lethal,--,0%,0%,100%,0,0,--,OuterRadius,??,??,??,??,,Immaterial [MAIN]. It cannot be targeted like other parts. Explosions will damage it if they hit the enemy and if the conditions (AP / ExDR / etc.) required to damage the [MAIN] are satisfied. However % to Main from other parts works normally.
Illuminates / Special / Stingray / Chassis,Illuminates,9,Special / Stingray,2,Chassis,--,https://i.postimg.cc/bvqcYBcC/Side-Main-1.jpg,https://i.postimg.cc/13h12zWZ/Front.jpg,Discord : rideranton,-1,3,70%,100%,Lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,No notes.
Illuminates / Heavy / Harvester (OUTDATED) / [MAIN],Illuminates,10,Heavy / Harvester (OUTDATED),1,[MAIN],0,https://i.postimg.cc/43hf6ssz/side-Main.jpg,https://i.postimg.cc/1RK9cWhY/front-Main.jpg,Discord : asunderknight / dumplayz,3000,4,70%,--,Lethal,--,0%,0%,150%,0,0,--,OuterRadius,"10, ??, N",--,--,"30, 1, Y",,Immaterial [MAIN]. It cannot be targeted like other parts. Explosions will damage it if they hit the enemy and if the conditions (AP / ExDR / etc.) required to damage the [MAIN] are satisfied. However % to Main from other parts works normally.
Illuminates / Heavy / Harvester (OUTDATED) / Eye,Illuminates,10,Heavy / Harvester (OUTDATED),2,Eye,--,https://i.postimg.cc/0jZPkN0q/front-Eye.jpg,https://i.postimg.cc/0jZPkN0q/front-Eye.jpg,Discord : asunderknight / dumplayz,350,2,0%,120%,Non lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
Illuminates / Heavy / Harvester (OUTDATED) / Shield generator,Illuminates,10,Heavy / Harvester (OUTDATED),3,Shield generator,--,https://i.postimg.cc/yxK86tq0/side-shield-generator.jpg,https://i.postimg.cc/qM0Nph0W/front-shield-generator.jpg,Discord : asunderknight / dumplayz,350,3,0%,10%,Non lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,Destroying one of the generators deactivates the harvester's shield.
